Title,First air date,End date,Rating,Genres,Status,Network,Summary
Under the Dome,2013/06/24,2015/09/10,6.5,"[""Drama"", ""Science-Fiction"", ""Thriller""]",Ended,CBS,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where…"
Person of Interest,2011/09/22,2016/06/21,8.8,"[""Action"", ""Crime"", ""Science-Fiction""]",Ended,CBS,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes th…"
Bitten,2014/01/11,2016/04/15,7.4,"[""Drama"", ""Horror"", ""Romance""]",Ended,CTV Sci-Fi Channel,"Based on the critically acclaimed series of novels from Kelley Armstrong. Set in Toronto and upper New York State, Bitten follows the adventures of 28-year-old Elena Michaels, the world's only female werewolf. An orphan, Elena thought she finally found her ""happily ever after"" w…"
Arrow,2012/10/10,2020/01/28,7.4,"[""Drama"", ""Action"", ""Science-Fiction""]",Ended,The CW,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame…"
True Detective,2014/01/12,,8.1,"[""Drama"", ""Crime"", ""Thriller""]",Running,HBO,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.True Detective is an American anthology crime drama television series created and written by N…
The 100,2014/03/19,2020/09/30,7.7,"[""Action"", ""Adventure"", ""Science-Fiction""]",Ended,The CW,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, a…"
Homeland,2011/10/02,2020/04/26,8.2,"[""Drama"", ""Thriller"", ""Espionage""]",Ended,Paramount+ with Showtime,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance th…"
Glee,2009/05/19,2015/03/20,6.7,"[""Drama"", ""Music"", ""Romance""]",Ended,FOX,"Glee is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice."
Revenge,2011/09/21,2015/05/10,7.7,"[""Drama"", ""Thriller"", ""Mystery""]",Ended,ABC,"This is not a story about forgiveness; Revenge is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison.…"
Grimm,2011/10/28,2017/03/31,8.4,"[""Drama"", ""Crime"", ""Supernatural""]",Ended,NBC,"Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds wi…"
Gotham,2014/09/22,2019/04/25,7.7,"[""Drama"", ""Action"", ""Crime""]",Ended,FOX,"The good. The evil. The beginning.Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? Wh…"
Lost Girl,2010/09/12,2015/10/25,8.0,"[""Drama"", ""Fantasy"", ""Horror""]",Ended,Showcase,"Lost Girl follows supernatural seductress Bo, a Succubus who feeds on the sexual energy of humans. Growing up with human parents, Bo had no reason to believe she was anything other than the girl next door — until she drained her boyfriend to death in their first sexual encounter…"
The Flash,2014/10/07,2023/05/24,7.5,"[""Drama"", ""Action"", ""Science-Fiction""]",Ended,The CW,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initia…"
Continuum,2012/05/27,2015/10/09,8.0,"[""Drama"", ""Crime"", ""Science-Fiction""]",Ended,Showcase,"Continuum centers on the conflict between a group of rebels from the year 2077 who time-travel to Vancouver, BC, in 2012, and a police officer who accidentally accompanies them. In spite of being many years early, the rebel group decides to continue its violent campaign to stop…"
Constantine,2014/10/24,2015/02/13,7.5,"[""Drama"", ""Action"", ""Horror""]",Ended,NBC,"Based on the wildly popular comic book series ""Hellblazer"" from DC Comics, seasoned demon hunter and master of the occult John Constantine is armed with a ferocious knowledge of the dark arts and a wickedly naughty wit. He fights the good fight - or at least he did. With his sou…"
Penny Dreadful,2014/05/11,2016/06/19,8.2,"[""Horror"", ""Thriller"", ""Supernatural""]",Ended,Paramount+ with Showtime,"Some of literature's most terrifying characters, including Dr. Frankenstein and his monster, Dorian Gray, and iconic figures from the novel Dracula are lurking in the darkest corners of Victorian London. They are joined by a core of original characters in a complex, frightening…"
